citation_key,agent_citation_key,category,pdf_name,pages,text_chars,selected_dest,source_original,selection_reason
Chi2015DiffusionalCoupling,Chi2015DiffusionalCoupling,02_pore_scale_simulation_random_walk,Chi2015_DiffusionalCoupling.pdf,12,58693,02_pore_scale_simulation_random_walk\Chi2015_DiffusionalCoupling.pdf,NMR simulation\Random Walk\Chi2015_DiffusionalCoupling.pdf,扩散耦合导致孔群之间信号混合，是解释多峰合并或谱形变化的重要依据。
Fraga2013CarbonatePoreCoupling,Fraga2013CarbonatePoreCoupling,02_pore_scale_simulation_random_walk,Fraga2013_RWCarbonatesPoreCoupling.pdf,4,17225,02_pore_scale_simulation_random_walk\Fraga2013_RWCarbonatesPoreCoupling.pdf,NMR simulation\Random Walk\Fraga2013_RWCarbonatesPoreCoupling.pdf,碳酸盐孔隙耦合随机游走模拟，适合支撑复杂孔隙结构下 T2 谱解释。
Carneiro2014DiffusiveCoupling,Carneiro2014DiffusiveCoupling,02_pore_scale_simulation_random_walk,Carneiro2014.pdf,8,25679,02_pore_scale_simulation_random_walk\Carneiro2014.pdf,NMR simulation\Random Walk\Carneiro2014.pdf,随机游走/扩散耦合相关模拟背景，可用于解释孔尺度连通性对谱形的影响。
Alhwety2014RockTypingDiffusiveCoupling,Alhwety2014RockTypingDiffusiveCoupling,02_pore_scale_simulation_random_walk,Alhwety2014_Rock-typing_DiffCoupl.pdf,7,17638,02_pore_scale_simulation_random_walk\Alhwety2014_Rock-typing_DiffCoupl.pdf,NMR simulation\Random Walk\Alhwety2014_Rock-typing_DiffCoupl.pdf,扩散耦合、T2 分布与岩石类型解释之间的模拟/解释连接。
LucasOliveira2018RestrictedDiffusion,LucasOliveira2018RestrictedDiffusion,02_pore_scale_simulation_random_walk,Lucas-Oliveira2018.pdf,9,49125,02_pore_scale_simulation_random_walk\Lucas-Oliveira2018.pdf,NMR simulation\Random Walk\Lucas-Oliveira2018.pdf,孔尺度随机游走/受限扩散模拟，对比反演谱和真实孔隙结构时有用。
Guo2016MultidimensionalNMRSimulation,Guo2016MultidimensionalNMRSimulation,02_pore_scale_simulation_random_walk,Guo et al. - 2016 - Numerical simulation of multi-dimensional NMR resp.pdf,10,41493,02_pore_scale_simulation_random_walk\Guo et al. - 2016 - Numerical simulation of multi-dimensional NMR resp.pdf,NMR simulation\Random Walk\Guo et al. - 2016 - Numerical simulation of multi-dimensional NMR resp.pdf,多维 NMR 响应数值模拟，可作为 T2/T1-T2/T2-T2 模拟背景。
McCall1991RestrictedDiffusion,McCall1991RestrictedDiffusion,02_pore_scale_simulation_random_walk,McCall1991.pdf,14,44379,02_pore_scale_simulation_random_walk\McCall1991.pdf,NMR simulation\Random Walk\McCall1991.pdf,受限几何中的 NMR/扩散理论经典模拟参考。
Liebig1993RandomWalk,Liebig1993RandomWalk,02_pore_scale_simulation_random_walk,Leibig1993_RW.pdf,20,46574,02_pore_scale_simulation_random_walk\Leibig1993_RW.pdf,NMR simulation\Random Walk\Leibig1993_RW.pdf,早期随机游走方法背景，可支持 Monte Carlo 模拟选择。
Noetinger2016DiffusionRandomWalk,Noetinger2016DiffusionRandomWalk,02_pore_scale_simulation_random_walk,Noetinger2016_preprint.pdf,45,139584,02_pore_scale_simulation_random_walk\Noetinger2016_preprint.pdf,NMR simulation\Random Walk\Noetinger2016_preprint.pdf,扩散/随机游走理论背景较强，适合作为深入理论补充。
Gonzalez2020FieldInhomogeneities,Gonzalez2020FieldInhomogeneities,02_pore_scale_simulation_random_walk,Gonzalez2020_Inhomogeneities .pdf,15,45864,02_pore_scale_simulation_random_walk\Gonzalez2020_Inhomogeneities .pdf,NMR simulation\Random Walk\Gonzalez2020_Inhomogeneities .pdf,非均匀场/内部梯度对 NMR 响应的影响，可解释模拟与反演之间的偏差来源。
SCA2008PoreScaleNMRSimulation,SCA2008PoreScaleNMRSimulation,02_pore_scale_simulation_random_walk,SCA2008-30.pdf,12,29991,02_pore_scale_simulation_random_walk\SCA2008-30.pdf,NMR simulation\Random Walk\SCA2008-30.pdf,孔尺度/随机游走模拟相关会议论文，作为方法补充。
Tandon2018FiniteVolumeInternalGradients,Tandon2018FiniteVolumeInternalGradients,03_numerical_methods_fem_lbm_matrix,Tandon2018_FiniteVolumeMethod_InternalGradients.pdf,18,75089,03_numerical_methods_fem_lbm_matrix\Tandon2018_FiniteVolumeMethod_InternalGradients.pdf,NMR simulation\FEM\Tandon2018_FiniteVolumeMethod_InternalGradients.pdf,有限体积法和内部梯度效应，适合解释数值模型边界条件/梯度影响。
Ghomeshi2018FEMNMR,Ghomeshi2018FEMNMR,03_numerical_methods_fem_lbm_matrix,Ghomeshi2018_FEM.pdf,13,51723,03_numerical_methods_fem_lbm_matrix\Ghomeshi2018_FEM.pdf,NMR simulation\FEM\Ghomeshi2018_FEM.pdf,FEM 正演模拟背景，支持有限元方法解释。
Mitchell2019FiniteElementNMR,Mitchell2019FiniteElementNMR,03_numerical_methods_fem_lbm_matrix,Mitchel2019_FEModeling.pdf,13,61035,03_numerical_methods_fem_lbm_matrix\Mitchel2019_FEModeling.pdf,NMR simulation\FEM\Mitchel2019_FEModeling.pdf,有限元建模 NMR 响应，和项目中的模拟-反演解释高度相关。
Mohnke2010PoreScaleSimulation,Mohnke2010PoreScaleSimulation,03_numerical_methods_fem_lbm_matrix,Mohnke2010.pdf,12,46961,03_numerical_methods_fem_lbm_matrix\Mohnke2010.pdf,NMR simulation\FEM\Mohnke2010.pdf,孔尺度数值模拟、内部梯度/表面弛豫相关背景。
Schwartz2013T2T2Simulation,Schwartz2013T2T2Simulation,03_numerical_methods_fem_lbm_matrix,Schwartz2013_t2t2.pdf,13,61688,03_numerical_methods_fem_lbm_matrix\Schwartz2013_t2t2.pdf,NMR simulation\FEM\Schwartz2013_t2t2.pdf,T2-T2 或相关二维 NMR 模拟/反演解释，可支撑孔耦合与谱形解释。
Hagslatt2002RestrictiveGeometries,Hagslatt2002RestrictiveGeometries,03_numerical_methods_fem_lbm_matrix,Hagslatt2002_restrictiveGeometries.pdf,10,41335,03_numerical_methods_fem_lbm_matrix\Hagslatt2002_restrictiveGeometries.pdf,NMR simulation\FEM\Hagslatt2002_restrictiveGeometries.pdf,限制几何中的扩散与弛豫模拟，适合解释理想孔隙模拟结果。
Oliveira2021COMSOLNMRGuide,Oliveira2021COMSOLNMRGuide,03_numerical_methods_fem_lbm_matrix,Oliveira2021_COMSOL_Guide!.pdf,49,52348,03_numerical_methods_fem_lbm_matrix\Oliveira2021_COMSOL_Guide!.pdf,NMR simulation\FEM\Oliveira2021_COMSOL_Guide!.pdf,COMSOL/FEM 建模操作型背景，作为复现实验/数值模型设置参考。
Mohnke2014LBMNMR,Mohnke2014LBMNMR,03_numerical_methods_fem_lbm_matrix,Mohnke2014.pdf,16,48606,03_numerical_methods_fem_lbm_matrix\Mohnke2014.pdf,NMR simulation\LBM\Mohnke2014.pdf,LBM/孔尺度 NMR 模拟背景，适合和随机游走/FEM 对比。
Guyer2000LBMDiffusion,Guyer2000LBMDiffusion,03_numerical_methods_fem_lbm_matrix,Guyer2000_LBM.pdf,15,49423,03_numerical_methods_fem_lbm_matrix\Guyer2000_LBM.pdf,NMR simulation\LBM\Guyer2000_LBM.pdf,Lattice Boltzmann 方法基础，作为 LBM 模拟解释支撑。
Chang2000MatrixDiagonalization,Chang2000MatrixDiagonalization,03_numerical_methods_fem_lbm_matrix,Chang2000.pdf,12,22024,03_numerical_methods_fem_lbm_matrix\Chang2000.pdf,NMR simulation\matrix diagonalization methods\Chang2000.pdf,矩阵对角化/特征模态方法相关，支撑解析/半解析正演理解。
Chang2001DrainageSaturationHistory,Chang2001DrainageSaturationHistory,03_numerical_methods_fem_lbm_matrix,Chang2001_drainage_conditions_saturation_history.pdf,11,26410,03_numerical_methods_fem_lbm_matrix\Chang2001_drainage_conditions_saturation_history.pdf,NMR simulation\matrix diagonalization methods\Chang2001_drainage_conditions_saturation_history.pdf,矩阵方法与饱和/排驱条件对 NMR 响应影响的模拟背景。
MatrixDiagonalization2002NMR,MatrixDiagonalization2002NMR,03_numerical_methods_fem_lbm_matrix,1-s2.0-S0021979702984729-main.pdf,12,52773,03_numerical_methods_fem_lbm_matrix\1-s2.0-S0021979702984729-main.pdf,NMR simulation\matrix diagonalization methods\1-s2.0-S0021979702984729-main.pdf,矩阵对角化方法相关论文，补充特征值/模态解释。
Tan2012T2T1Simulation,Tan2012T2T1Simulation,03_numerical_methods_fem_lbm_matrix,"Tan et al. - 2012 - Numerical simulation of (T2, T1) 2D NMR and fluid .pdf",13,36834,"03_numerical_methods_fem_lbm_matrix\Tan et al. - 2012 - Numerical simulation of (T2, T1) 2D NMR and fluid .pdf","NMR simulation\Echo train simulation\Tan et al. - 2012 - Numerical simulation of (T2, T1) 2D NMR and fluid .pdf",二维 NMR/流体识别数值模拟，适合扩展到多维响应解释。
EchoTrainSimulation2021,EchoTrainSimulation2021,03_numerical_methods_fem_lbm_matrix,1-s2.0-S0098300421000686-main.pdf,11,30807,03_numerical_methods_fem_lbm_matrix\1-s2.0-S0098300421000686-main.pdf,NMR simulation\Echo train simulation\1-s2.0-S0098300421000686-main.pdf,echo train/CPMG 响应数值模拟背景，对衰减曲线生成和反演前处理有参考价值。
Song2014PoreCouplingReview,Song2014PoreCouplingReview,04_pore_coupling_t2t2_interpretation,Song2014_reviewLetters.pdf,5,20674,04_pore_coupling_t2t2_interpretation\Song2014_reviewLetters.pdf,NMR application\Lab NMR\Pore coupling\Song2014_reviewLetters.pdf,孔耦合/多峰谱解释的短文背景，适合结果讨论引用。
Grunewald2009PoreCoupling,Grunewald2009PoreCoupling,04_pore_coupling_t2t2_interpretation,Grunewald2009_LabStudy_PoreCoupling.pdf,7,43175,04_pore_coupling_t2t2_interpretation\Grunewald2009_LabStudy_PoreCoupling.pdf,NMR application\Lab NMR\Pore coupling\Grunewald2009_LabStudy_PoreCoupling.pdf,实验与解释结合，但重点是 pore coupling，对模拟谱形解释有用。
Fleury2009PoreCoupling,Fleury2009PoreCoupling,04_pore_coupling_t2t2_interpretation,x_Fleury2009.pdf,10,43917,04_pore_coupling_t2t2_interpretation\x_Fleury2009.pdf,NMR application\Lab NMR\Pore coupling\x_Fleury2009.pdf,孔耦合与 T2 分布解释，作为模拟结果和实验现象之间的桥梁。
Yu2019T2T2,Yu2019T2T2,04_pore_coupling_t2t2_interpretation,Yu_2019.pdf,5,20015,04_pore_coupling_t2t2_interpretation\Yu_2019.pdf,NMR measurement and modeling\T2-T2\Yu_2019.pdf,T2/T2 或相关二维 NMR 解释，支持复杂谱形/峰群分析。
Song2016T2T2,Song2016T2T2,04_pore_coupling_t2t2_interpretation,x_Song2016.pdf,8,38367,04_pore_coupling_t2t2_interpretation\x_Song2016.pdf,NMR measurement and modeling\T2-T2\x_Song2016.pdf,二维 NMR/孔隙流体解释背景，适合扩展结果讨论。
Song2008T2T2,Song2008T2T2,04_pore_coupling_t2t2_interpretation,x_Song2008.pdf,4,19745,04_pore_coupling_t2t2_interpretation\x_Song2008.pdf,NMR measurement and modeling\T2-T2\x_Song2008.pdf,T2-T2 与孔耦合/交换解释背景。
Johnson2014T2T2,Johnson2014T2T2,04_pore_coupling_t2t2_interpretation,x_Johnson2014.pdf,7,29876,04_pore_coupling_t2t2_interpretation\x_Johnson2014.pdf,NMR measurement and modeling\T2-T2\x_Johnson2014.pdf,T2-T2/多维 NMR 解释背景，支持复杂 T2 谱解释。
Monteilhet2006T2T2,Monteilhet2006T2T2,04_pore_coupling_t2t2_interpretation,Monteilheit2006_T2-T2.pdf,10,50769,04_pore_coupling_t2t2_interpretation\Monteilheit2006_T2-T2.pdf,NMR measurement and modeling\T2-T2\Monteilheit2006_T2-T2.pdf,T2-T2 方法与谱解释背景。
